code,description,required_qty,cost,retail
911000011042,F /F1 G.ARMANI 454,3,123.25,870
911000011004,F /F1 G.ARMANI 583,1,149.93,800
911000011046,F /F1 G.ARMANI 800,1,136.94,850
911000011047,F /F1 G.ARMANI 865,1,123.25,850
911000011049,F /F1 G.ARMANI 875,1,126.674444444444,850
911000011052,F /F1 G.ARMANI 896,5,129.735,850
911000011025,F /F1 GIORGIO ARMANI 7001,1,431.4,1450
911000034044,F /F1 GUCCI 2205,1,143.345,700
911000009709,F /F1 GUESS 1841,-1,67.1033333333333,600
911000009502,F /F1 JUST CAVALLI JC0281,1,85,520
911000009503,F /F1 JUST CAVALLI JC0291,2,85,550
911000065501,F /F1 KILLER VISTA 7063,1,77,390
911000086017,F /F1 LACOSTE 2119,-1,76.5,780
911000086018,F /F1 LACOSTE 2174,1,78.625,750
911000072004,F /F1 LENEA ROMA ALICE,1,165.505,690
911000072003,F /F1 LENEA ROMA MANDY,2,132.415,630
911000064402,F /F1 LOOK 4316,1,276.74,540
911000064051,F /F1 LOOKKINO 3700,5,161.73,540
911000037031,F /F1 MARIO LARINI 98,2,92.1875,320
911000095009,F /F1 MICHAEL KORS 357,1,141.665,880
911000069009,F /F1 MINIMA 863,1,550,1420
911000069001,F /F1 MINIMA ASSORTED,9,433,1400
911000069007,F /F1 MINIMA F816,1,499.5,1000
911000069021,F /F1 MINIMA F843,1,556,1000
911000069005,F /F1 MINIMA F854,1,598.2,1200
911000069011,F /F1 MINIMA F868,1,602,1550
911000006005,F /F1 MODO FR,1,42.665,180
911000031020,F /F1 OXIBIS AXYS,7,277.863292682927,415
911000031032,F /F1 OXIBIS AZIMUT,3,117.11,260
911000031048,F /F1 OXIBIS KUBIK,2,255.9775,380
911000031049,F /F1 OXIBIS MISSTIK,5,315.564,500
911000050143,F /F1 POLO 1104JP,1,466,1180
911000050157,F /F1 POLO 2136,2,326.513333333333,850
911000050159,F /F1 POLO 2140,1,300.975,830
911000050174,F /F1 POLO 2297&2301,2,50,250
911000018041,F /F1 PRADA 02CV LINEA ROS,-1,418.0075,940
911000050560,F /F1 RALPH LAUREN 5075,1,309.5,1050
911000050540,F /F1 RALPH LAUREN 6106,1,263.463333333333,970
911000050545,F /F1 RALPH LAUREN 6112,3,348.364,1100
911000050504,F /F1 RALPH LUREN 7036 F2,-1,338.8,1060
911000059292,F /F1 RAY BAN 1536,-1,145.964285714286,500
911000059295,F /F1 RAY BAN 1540,3,112.83,600
911000027005,F /F1 S.FERREGAMO-1589,2,300,600
911000040059,F /F1 SILHOUETTE 1552,1,270,710
911000040060,F /F1 SILHOUETTE 2825,1,227.145,710
911000040077,F /F1 SILHOUETTE 5230,1,354.283333333333,710
911000040086,F /F1 SILHOUETTE 5315,1,233.335,710
911000040103,F /F1 SILHOUETTE 7723,1,387.5,710
911000009252,F /F1 TAG HEUER TAG0502,1,181.533333333333,1350
911000009257,F /F1 TAG HEUER TAG0803,2,191.25,1380
911000039801,F /F1 TOM FORD FT5092,1,118.305,650
911000012114,F /F1 VOGUE 3813B,1,377.095,800
911000012182,F /F1 VOGUE 3926,1,34.6533333333333,550
911000012021,F /F1 VOGUE-2535,1,395.93,760
911000012097,F /F1 VOGUE-2752,1,260.356428571429,720
911000012032,F /F1 VOGUE-3671,1,345.43,960
911000012086,F /F1 VOGUE-3797,1,278.674666666667,720
911000012088,F /F1 VOGUE-3813B,-1,310.25,800
912000081004,F /F2 ADIDAS 141,1,57.08,400
912000067061,F /F2 ARNETTE 3065,1,263.5,750
912000067050,F /F2 ARNETTE 4176,4,274.813333333333,850
912000067076,F /F2 ARNETTE 4187,1,238,670
912000025011,F /F2 BVLGARI-521,3,240,500
912000025001,F /F2 BVLGARI-526,2,746.43,600
912000025003,F /F2 BVLGARI-607,1,529,500
912000025010,F /F2 BVLGARI-628,3,600,500
912000025006,F /F2 BVLGARI-638,2,592.4,500
912000025005,F /F2 BVLGARI-639,1,482,500
